,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1157,IND,55,23,42,54.8,5,11,45.5,4,4,100.0,4,20,24,14,9,4,2,8,10,True,True,False,False,False
1158,LAL,55,19,40,47.5,4,15,26.7,13,18,72.2,5,16,21,8,10,6,4,4,-8,True,False,False,False,False
1159,MEM,63,25,45,55.6,10,14,71.4,3,7,42.9,3,17,20,19,9,8,0,10,8,False,False,False,False,False
1160,MIA,35,12,40,30.0,1,12,8.3,10,12,83.3,7,17,24,2,11,4,1,11,-20,False,False,False,False,False
1161,MIL,54,21,41,51.2,7,16,43.8,5,8,62.5,1,21,22,14,10,3,4,7,7,True,True,True,True,True
1162,MIN,45,18,48,37.5,6,22,27.3,3,3,100.0,5,24,29,10,9,1,4,11,-7,False,False,False,False,False
1163,NOP,54,18,51,35.3,6,15,40.0,12,12,100.0,4,15,19,11,2,1,0,10,-20,False,False,False,False,False
1164,NYK,43,18,43,41.9,4,16,25.0,3,4,75.0,3,12,15,13,7,5,2,9,-25,False,False,False,False,False
1165,ORL,45,20,47,42.6,4,10,40.0,1,2,50.0,4,13,17,12,7,4,3,5,-10,False,False,False,False,False
1166,PHI,55,21,42,50.0,5,11,45.5,8,9,88.9,4,21,25,14,8,7,1,13,20,True,True,True,True,True
1167,PHX,52,19,52,36.5,8,22,36.4,6,7,85.7,7,22,29,17,4,5,3,7,7,True,False,False,False,False
1168,POR,42,15,45,33.3,7,22,31.8,5,7,71.4,3,18,21,10,5,3,4,7,-7,False,False,False,False,False
1169,SAS,68,26,44,59.1,8,15,53.3,8,11,72.7,5,21,26,17,6,3,0,7,25,True,True,True,False,False
1170,TOR,52,17,45,37.8,7,21,33.3,11,12,91.7,2,13,15,10,7,3,2,7,-9,True,False,False,False,False
